Hour,Occupancy (%),Speed (mph),VMT (Veh-Miles),VHT (Veh-Hours),TTI,South,East,North,Flow (Veh/Hour)
1/1/2023 0:00,3.20 ,56.60 ,1599.10 ,28.20 ,1.10 ,1718.00 ,2289.00 ,1560.00 ,1929.00 
1/1/2023 1:00,5.00 ,53.80 ,2583.20 ,48.00 ,1.10 ,2040.00 ,2989.00 ,2203.00 ,3116.00 
1/1/2023 2:00,3.00 ,65.80 ,1864.40 ,28.30 ,0.90 ,1521.00 ,2580.00 ,1333.00 ,2249.00 
1/1/2023 3:00,3.30 ,67.30 ,2175.30 ,32.30 ,0.90 ,904.00 ,2648.00 ,936.00 ,2624.00 
1/1/2023 4:00,1.80 ,68.30 ,1131.60 ,16.60 ,0.90 ,774.00 ,1846.00 ,743.00 ,1365.00 
1/1/2023 5:00,1.40 ,69.80 ,902.00 ,12.90 ,0.90 ,869.00 ,1610.00 ,795.00 ,1088.00 
1/1/2023 6:00,1.50 ,69.70 ,968.30 ,13.90 ,0.90 ,1262.00 ,1589.00 ,1274.00 ,1168.00 
1/1/2023 7:00,1.80 ,69.60 ,1169.70 ,16.80 ,0.90 ,1732.00 ,1829.00 ,1804.00 ,1411.00 
1/1/2023 8:00,2.90 ,66.50 ,1799.80 ,27.10 ,0.90 ,2350.00 ,2241.00 ,2521.00 ,2171.00 
1/1/2023 9:00,3.90 ,65.70 ,2507.70 ,38.20 ,0.90 ,3209.00 ,2736.00 ,3297.00 ,3025.00 
1/1/2023 10:00,5.90 ,62.70 ,3718.90 ,59.30 ,1.00 ,4234.00 ,3387.00 ,4110.00 ,4486.00 
1/1/2023 11:00,7.10 ,60.60 ,4410.30 ,72.80 ,1.00 ,4846.00 ,3855.00 ,5003.00 ,5320.00 
1/1/2023 12:00,7.80 ,59.10 ,4784.20 ,80.90 ,1.00 ,5040.00 ,4139.00 ,5329.00 ,5771.00 
1/1/2023 13:00,8.10 ,57.60 ,4839.70 ,84.00 ,1.00 ,4853.00 ,4228.00 ,5336.00 ,5838.00 
1/1/2023 14:00,7.10 ,59.30 ,4372.20 ,73.80 ,1.00 ,4791.00 ,4048.00 ,4876.00 ,5274.00 
1/1/2023 15:00,7.30 ,60.00 ,4538.80 ,75.70 ,1.00 ,4437.00 ,4058.00 ,4415.00 ,5475.00 
1/1/2023 16:00,7.40 ,59.10 ,4489.90 ,75.90 ,1.00 ,4156.00 ,3951.00 ,4088.00 ,5416.00 
1/1/2023 17:00,7.80 ,58.10 ,4688.00 ,80.70 ,1.00 ,3727.00 ,4112.00 ,3827.00 ,5655.00 
1/1/2023 18:00,7.40 ,59.50 ,4513.90 ,75.90 ,1.00 ,3088.00 ,3995.00 ,3286.00 ,5445.00 
1/1/2023 19:00,6.90 ,61.60 ,4243.70 ,68.90 ,1.00 ,3057.00 ,3826.00 ,3066.00 ,5119.00 
1/1/2023 20:00,6.00 ,62.20 ,3759.50 ,60.40 ,1.00 ,2559.00 ,3479.00 ,2562.00 ,4535.00 
1/1/2023 21:00,5.10 ,66.90 ,3268.80 ,48.90 ,0.90 ,2132.00 ,3113.00 ,2219.00 ,3943.00 
1/1/2023 22:00,3.50 ,69.00 ,2341.10 ,33.90 ,0.90 ,1892.00 ,2598.00 ,1967.00 ,2824.00 
1/1/2023 23:00,2.60 ,67.70 ,1663.00 ,24.60 ,0.90 ,1311.00 ,2125.00 ,1363.00 ,2006.00 
1/2/2023 0:00,1.60 ,69.60 ,1040.40 ,14.90 ,0.90 ,885.00 ,1732.00 ,936.00 ,1255.00 
1/2/2023 1:00,1.40 ,67.80 ,771.00 ,11.40 ,0.90 ,728.00 ,1511.00 ,690.00 ,930.00 
1/2/2023 2:00,1.40 ,68.20 ,738.60 ,10.80 ,0.90 ,568.00 ,1435.00 ,497.00 ,891.00 
1/2/2023 3:00,1.80 ,66.30 ,877.10 ,13.20 ,0.90 ,611.00 ,1574.00 ,516.00 ,1058.00 
1/2/2023 4:00,2.50 ,69.20 ,1420.10 ,20.50 ,0.90 ,937.00 ,1948.00 ,854.00 ,1713.00 
1/2/2023 5:00,2.90 ,68.10 ,1594.20 ,23.40 ,0.90 ,1447.00 ,2164.00 ,1482.00 ,1923.00 
1/2/2023 6:00,3.40 ,70.90 ,2031.90 ,28.70 ,0.90 ,2210.00 ,2423.00 ,2176.00 ,2451.00 
1/2/2023 7:00,3.90 ,70.00 ,2253.20 ,32.20 ,0.90 ,2962.00 ,2648.00 ,2955.00 ,2718.00 
1/2/2023 8:00,4.80 ,67.60 ,2776.30 ,41.10 ,0.90 ,3473.00 ,2902.00 ,3604.00 ,3349.00 
1/2/2023 9:00,5.40 ,65.40 ,3180.00 ,48.70 ,0.90 ,4188.00 ,3238.00 ,4309.00 ,3836.00 
1/2/2023 10:00,7.10 ,64.80 ,4104.40 ,63.30 ,0.90 ,4966.00 ,3829.00 ,5114.00 ,4951.00 
1/2/2023 11:00,7.90 ,64.20 ,4634.10 ,72.20 ,0.90 ,5697.00 ,4204.00 ,5644.00 ,5590.00 
1/2/2023 12:00,8.70 ,63.30 ,5059.40 ,79.90 ,1.00 ,5500.00 ,4441.00 ,5759.00 ,6103.00 
1/2/2023 13:00,9.00 ,61.50 ,5046.10 ,82.00 ,1.00 ,5431.00 ,4528.00 ,5304.00 ,6087.00 
1/2/2023 14:00,8.20 ,62.50 ,4757.60 ,76.10 ,1.00 ,4512.00 ,4321.00 ,4654.00 ,5739.00 
1/2/2023 15:00,8.30 ,63.30 ,4829.80 ,76.30 ,1.00 ,4321.00 ,4311.00 ,4799.00 ,5826.00 
1/2/2023 16:00,8.20 ,62.70 ,4754.30 ,75.80 ,1.00 ,4366.00 ,4195.00 ,4493.00 ,5735.00 
1/2/2023 17:00,7.90 ,61.90 ,4445.90 ,71.80 ,1.00 ,4031.00 ,4080.00 ,4098.00 ,5363.00 
1/2/2023 18:00,6.90 ,62.20 ,3887.20 ,62.50 ,1.00 ,3485.00 ,3671.00 ,3633.00 ,4689.00 
1/2/2023 19:00,6.70 ,61.10 ,3597.00 ,58.90 ,1.00 ,3047.00 ,3418.00 ,3159.00 ,4339.00 
1/2/2023 20:00,6.00 ,61.10 ,3258.00 ,53.40 ,1.00 ,2583.00 ,3108.00 ,2874.00 ,3930.00 
1/2/2023 21:00,4.30 ,64.90 ,2413.20 ,37.20 ,0.90 ,2101.00 ,2749.00 ,2359.00 ,2911.00 
1/2/2023 22:00,3.90 ,66.50 ,2177.00 ,32.80 ,0.90 ,1871.00 ,2442.00 ,1741.00 ,2626.00 
1/2/2023 23:00,2.70 ,67.90 ,1454.10 ,21.40 ,0.90 ,1444.00 ,1957.00 ,1345.00 ,1754.00 
1/3/2023 0:00,2.00 ,67.00 ,1013.00 ,15.10 ,0.90 ,1068.00 ,1706.00 ,1040.00 ,1222.00 
1/3/2023 1:00,1.80 ,66.10 ,842.30 ,12.80 ,0.90 ,757.00 ,1569.00 ,639.00 ,1016.00 
1/3/2023 2:00,2.10 ,63.90 ,909.40 ,14.20 ,0.90 ,688.00 ,1619.00 ,551.00 ,1097.00 
1/3/2023 3:00,3.30 ,64.50 ,1505.50 ,23.30 ,0.90 ,972.00 ,2183.00 ,828.00 ,1816.00 
1/3/2023 4:00,6.20 ,66.10 ,3106.30 ,47.00 ,0.90 ,1867.00 ,3196.00 ,1545.00 ,3747.00 
1/3/2023 5:00,10.40 ,63.30 ,4683.90 ,74.00 ,1.00 ,3019.00 ,4061.00 ,2622.00 ,5650.00 
1/3/2023 6:00,13.00 ,51.70 ,5075.10 ,98.20 ,1.20 ,3822.00 ,4336.00 ,3069.00 ,6122.00 
1/3/2023 7:00,12.40 ,49.50 ,5170.50 ,104.50 ,1.20 ,4329.00 ,4366.00 ,3452.00 ,6237.00 
1/3/2023 8:00,12.30 ,49.40 ,4958.30 ,100.30 ,1.20 ,4448.00 ,4214.00 ,3743.00 ,5981.00 
1/3/2023 9:00,11.00 ,51.70 ,4615.90 ,89.40 ,1.20 ,4282.00 ,4009.00 ,4036.00 ,5568.00 
1/3/2023 10:00,10.70 ,53.80 ,4576.10 ,85.10 ,1.10 ,4512.00 ,4189.00 ,4384.00 ,5520.00 
1/3/2023 11:00,10.40 ,55.30 ,4475.80 ,81.00 ,1.10 ,5151.00 ,4124.00 ,4772.00 ,5399.00 
1/3/2023 12:00,11.70 ,52.40 ,4474.90 ,85.40 ,1.20 ,4667.00 ,4133.00 ,4764.00 ,5398.00 
1/3/2023 13:00,10.50 ,53.80 ,4661.50 ,86.60 ,1.10 ,4484.00 ,4170.00 ,2487.00 ,5623.00 
1/3/2023 14:00,25.40 ,26.40 ,4338.20 ,164.10 ,2.30 ,5046.00 ,3998.00 ,5053.00 ,5233.00 
1/3/2023 15:00,13.20 ,42.40 ,4598.50 ,108.60 ,1.40 ,5227.00 ,4066.00 ,5381.00 ,5547.00 
1/3/2023 16:00,12.90 ,52.90 ,5299.80 ,100.10 ,1.10 ,5172.00 ,4494.00 ,5339.00 ,6393.00 
1/3/2023 17:00,12.00 ,55.70 ,5397.60 ,96.90 ,1.10 ,4889.00 ,4609.00 ,5343.00 ,6511.00 
1/3/2023 18:00,7.60 ,64.50 ,4084.50 ,63.30 ,0.90 ,4346.00 ,3811.00 ,4649.00 ,4927.00 
1/3/2023 19:00,5.90 ,66.40 ,3170.10 ,47.80 ,0.90 ,3775.00 ,3165.00 ,3827.00 ,3824.00 
1/3/2023 20:00,4.60 ,68.40 ,2498.60 ,36.50 ,0.90 ,3099.00 ,2785.00 ,3024.00 ,3014.00 
1/3/2023 21:00,4.10 ,67.50 ,2133.90 ,31.60 ,0.90 ,2517.00 ,2677.00 ,2492.00 ,2574.00 
1/3/2023 22:00,3.20 ,69.80 ,1712.70 ,24.50 ,0.90 ,2224.00 ,2374.00 ,2345.00 ,2066.00 
1/3/2023 23:00,2.50 ,66.40 ,1185.50 ,17.90 ,0.90 ,1603.00 ,2102.00 ,1689.00 ,1430.00 
1/4/2023 0:00,1.90 ,70.80 ,868.00 ,12.30 ,0.90 ,1164.00 ,1734.00 ,1250.00 ,1047.00 
1/4/2023 1:00,1.60 ,67.90 ,708.80 ,10.40 ,0.90 ,978.00 ,1647.00 ,933.00 ,855.00 
1/4/2023 2:00,2.00 ,64.30 ,818.20 ,12.70 ,0.90 ,937.00 ,1962.00 ,917.00 ,987.00 
1/4/2023 3:00,2.90 ,65.50 ,1349.60 ,20.60 ,0.90 ,1168.00 ,2292.00 ,959.00 ,1628.00 
1/4/2023 4:00,4.80 ,73.10 ,2556.60 ,35.00 ,0.80 ,1934.00 ,3031.00 ,1507.00 ,3084.00 
1/4/2023 5:00,18.70 ,22.30 ,1612.40 ,72.40 ,2.70 ,2918.00 ,2781.00 ,2513.00 ,1945.00 
1/4/2023 6:00,21.70 ,5.70 ,602.70 ,106.20 ,10.60 ,3971.00 ,2296.00 ,3498.00 ,727.00 
1/4/2023 7:00,20.70 ,29.00 ,3731.30 ,128.80 ,2.10 ,4660.00 ,3954.00 ,3650.00 ,4501.00 
1/4/2023 8:00,23.10 ,21.30 ,3871.40 ,181.90 ,2.80 ,4778.00 ,3937.00 ,3756.00 ,4670.00 
1/4/2023 9:00,15.40 ,37.90 ,3966.80 ,104.60 ,1.60 ,4485.00 ,4112.00 ,3766.00 ,4785.00 
1/4/2023 10:00,16.90 ,34.80 ,3917.00 ,112.40 ,1.70 ,4481.00 ,4154.00 ,4277.00 ,4725.00 
1/4/2023 11:00,24.20 ,17.80 ,3339.20 ,187.90 ,3.40 ,4645.00 ,4000.00 ,4556.00 ,4028.00 
1/4/2023 12:00,21.80 ,24.60 ,3592.90 ,146.30 ,2.40 ,4971.00 ,4194.00 ,5020.00 ,4334.00 
1/4/2023 13:00,18.20 ,27.90 ,4058.80 ,145.30 ,2.20 ,5128.00 ,4337.00 ,5399.00 ,4896.00 
