"","Value","Value"
"2023-01-26 00:00:00",962,942.867668398775
"2023-01-26 01:00:00",905,768.539182309548
"2023-01-26 02:00:00",938,866.31252471339
"2023-01-26 03:00:00",1665,1686.92084592984
"2023-01-26 04:00:00",3860,3779.36758698303
"2023-01-26 05:00:00",6208,6285.61115380268
"2023-01-26 06:00:00",5757,6412.24485140698
"2023-01-26 07:00:00",5912,5932.91245655355
"2023-01-26 08:00:00",5243,5679.16788623349
"2023-01-26 09:00:00",5562,5202.42836467124
"2023-01-26 10:00:00",5633,5067.28865084014
"2023-01-26 11:00:00",5359,5081.3747242267
"2023-01-26 12:00:00",5404,5252.39349325375
"2023-01-26 13:00:00",5732,5228.66441208488
"2023-01-26 14:00:00",5962,5888.72039597338
"2023-01-26 15:00:00",6556,6506.31804747456
"2023-01-26 16:00:00",6352,6391.34329928089
"2023-01-26 17:00:00",6453,6347.00547432057
"2023-01-26 18:00:00",5470,5191.03558206313
"2023-01-26 19:00:00",3873,3574.03927664977
"2023-01-26 20:00:00",3267,3043.19732856943
"2023-01-26 21:00:00",2698,2383.12220586874
"2023-01-26 22:00:00",2106,1876.30412917668
"2023-01-26 23:00:00",1514,1271.70603376804
"2023-01-27 00:00:00",1077,945.590207516926
"2023-01-27 01:00:00",844,792.407962686751
"2023-01-27 02:00:00",964,904.014283143176
"2023-01-27 03:00:00",1601,1689.55386687959
"2023-01-27 04:00:00",3546,3794.33867810503
"2023-01-27 05:00:00",5704,6404.14572735586
"2023-01-27 06:00:00",6459,6329.18273128944
"2023-01-27 07:00:00",6657,5967.97696918162
"2023-01-27 08:00:00",6117,5799.66446263167
"2023-01-27 09:00:00",5535,5166.99229484905
"2023-01-27 10:00:00",5361,5022.45418553716
"2023-01-27 11:00:00",5473,5095.46051050337
"2023-01-27 12:00:00",5372,5145.02988305818
"2023-01-27 13:00:00",5577,5213.673384125
"2023-01-27 14:00:00",6258,5911.34019311247
"2023-01-27 15:00:00",5863,6571.87082300034
"2023-01-27 16:00:00",6637,6483.00761466235
"2023-01-27 17:00:00",6432,6406.67401736155
"2023-01-27 18:00:00",6194,5102.47408926841
"2023-01-27 19:00:00",4928,3590.37938693139
"2023-01-27 20:00:00",3903,3063.8197811313
"2023-01-27 21:00:00",3430,2414.69192390042
"2023-01-27 22:00:00",2733,1837.76515799795
"2023-01-27 23:00:00",1798,1286.53000431762
"2023-01-28 00:00:00",1413,953.594492895212
"2023-01-28 01:00:00",1013,792.749045516519
"2023-01-28 02:00:00",1049,881.855441453669
"2023-01-28 03:00:00",1115,1682.36778128749
"2023-01-28 04:00:00",1583,3798.71772120274
"2023-01-28 05:00:00",2360,6388.15050315855
"2023-01-28 06:00:00",2953,6416.01464128769
"2023-01-28 07:00:00",4207,5950.27274884255
"2023-01-28 08:00:00",6138,5741.00320848062
"2023-01-28 09:00:00",7295,5172.13363514225
"2023-01-28 10:00:00",6727,5043.61928548247
"2023-01-28 11:00:00",6292,5091.90890821234
"2023-01-28 12:00:00",6796,5263.38340497786
"2023-01-28 13:00:00",6429,5205.27514207089
"2023-01-28 14:00:00",6830,5891.23203707836
"2023-01-28 15:00:00",6512,6534.64048389568
"2023-01-28 16:00:00",6164,6413.10720020264
"2023-01-28 17:00:00",6054,6404.89839485952
"2023-01-28 18:00:00",6385,5200.7309702103
"2023-01-28 19:00:00",4894,3587.63596084696
"2023-01-28 20:00:00",4648,3087.8190878688
"2023-01-28 21:00:00",4102,2429.21176813171
"2023-01-28 22:00:00",3315,1881.65358741158
"2023-01-28 23:00:00",2223,1283.12654310699
"2023-01-29 00:00:00",1679,949.224512017715
"2023-01-29 01:00:00",1235,785.743902688116
"2023-01-29 02:00:00",937,880.966060807704
"2023-01-29 03:00:00",884,1684.8334835856
"2023-01-29 04:00:00",1030,3792.45666724051
"2023-01-29 05:00:00",1280,6361.29249567788
"2023-01-29 06:00:00",1921,6400.93251094768
"2023-01-29 07:00:00",2457,5948.14342017264
"2023-01-29 08:00:00",3295,5732.70952215614
"2023-01-29 09:00:00",5015,5180.00168478714
"2023-01-29 10:00:00",6801,5047.00182101143
"2023-01-29 11:00:00",7593,5089.45738736517
"2023-01-29 12:00:00",6344,5241.14629986673
"2023-01-29 13:00:00",6251,5213.34376340327
"2023-01-29 14:00:00",6865,5893.75303354453
"2023-01-29 15:00:00",6479,6532.51234562958
"2023-01-29 16:00:00",5890,6418.12927510585
"2023-01-29 17:00:00",6169,6388.56482365137
"2023-01-29 18:00:00",5636,5182.1056759875
"2023-01-29 19:00:00",5044,3584.17495770736
"2023-01-29 20:00:00",4402,3071.13970139444
