"station","longitude","latitude"
801230,-117.699964,34.082004
801232,-117.697705,34.082149
801234,-117.690768,34.085065
801237,-117.68797,34.086058
801239,-117.67825,34.087192
801240,-117.678335,34.087372
801241,-117.672326,34.087447
801243,-117.669959,34.087182
801245,-117.660358,34.087226
801246,-117.660375,34.08742
801247,-117.653559,34.087466
801248,-117.649722,34.087474
801250,-117.648858,34.087267
801255,-117.632187,34.082592
801256,-117.632057,34.082791
801259,-117.62377,34.078035
801261,-117.622804,34.077163
801265,-117.611844,34.071145
801267,-117.61069,34.070549
801269,-117.608734,34.069468
801277,-117.582357,34.067702
801279,-117.577307,34.067681
801282,-117.574695,34.067676
801284,-117.574833,34.067456
801286,-117.576784,34.06745
801288,-117.56921,34.067651
801289,-117.569207,34.067404
801290,-117.534378,33.84685
801291,-117.534778,33.846853
801301,-117.542279,33.866255
801302,-117.54266,33.866052
801320,-117.55927,33.896559
801322,-117.559983,33.900744
801324,-117.559432,33.907319
801325,-117.559044,33.907303
801327,-117.558301,33.910359
801328,-117.558687,33.910412
801329,-117.55745,33.914275
801330,-117.557832,33.914317
801331,-117.556895,33.917527
801332,-117.557262,33.917555
801335,-117.556298,33.924745
801337,-117.709995,34.030267
801338,-117.70991,34.030011
801340,-117.705128,34.030054
801341,-117.705193,34.030319
801343,-117.692634,34.030388
801344,-117.692625,34.03012
801346,-117.686621,34.030151
801347,-117.686616,34.030408
801349,-117.670634,34.030504
801350,-117.670642,34.030246
801352,-117.664967,34.030267
801353,-117.66496,34.03052
801355,-117.653849,34.030551
801356,-117.653851,34.030314
801358,-117.647603,34.03033
801359,-117.647603,34.030577
801361,-117.630985,34.030623
801362,-117.630981,34.030383
801364,-117.625446,34.030392
801365,-117.625451,34.030646
801367,-117.61388,34.03068
801368,-117.613871,34.03045
801370,-117.607987,34.03045
801371,-117.607997,34.030672
801373,-117.595966,34.0307
801374,-117.595962,34.030496
801376,-117.590566,34.030487
801377,-117.59057,34.030718
801379,-117.578863,34.029928
801380,-117.578854,34.029685
801383,-117.573998,34.028621
801387,-117.561183,34.024988
801390,-117.554084,34.022726
801391,-117.554045,34.022943
801394,-117.276661,33.942128
801397,-117.264242,33.940876
801398,-117.264258,33.940689
801400,-117.259999,33.940948
801402,-117.258321,33.940779
801404,-117.246877,33.941149
801407,-117.241174,33.941022
801408,-117.241153,33.941223
801410,-117.229089,33.94038
801411,-117.229112,33.940195
801418,-117.658393,33.878243
801422,-117.657264,33.878697
801428,-117.649232,33.881268
801431,-117.642459,33.883174
801435,-117.632803,33.884659
801445,-117.613574,33.880896
801449,-117.61289,33.880625
801455,-117.60266,33.880399
801464,-117.591808,33.881957
801469,-117.584068,33.882089
801471,-117.583994,33.881909
801473,-117.580389,33.881537
801475,-117.580467,33.88171
801481,-117.567259,33.880296
801485,-117.563959,33.879761
801488,-117.55886,33.879189
801490,-117.519441,33.885703
801493,-117.517184,33.886508
801496,-117.494526,33.897117
801499,-117.488881,33.897372
801502,-117.485867,33.896796
801505,-117.474495,33.899702
801509,-117.470486,33.900773
801511,-117.457413,33.906107
801512,-117.45728,33.905975
801515,-117.456517,33.906407
801516,-117.456643,33.906533
801517,-117.442219,33.914763
801520,-117.441676,33.914872
801521,-117.441803,33.915001
801523,-117.432776,33.919915
801527,-117.4207,33.926999
801528,-117.420534,33.926869
801530,-117.418505,33.928019
801531,-117.418672,33.928148
801533,-117.410737,33.932457
801534,-117.410911,33.932582
801535,-117.406008,33.935365
801536,-117.40583,33.935237
801538,-117.403479,33.936564
801539,-117.403654,33.936681
801541,-117.396017,33.941008
801543,-117.390312,33.945336
801544,-117.390128,33.945227
801546,-117.387485,33.947227
801547,-117.387683,33.947341
801549,-117.38458,33.95267
801550,-117.384454,33.952593
801552,-117.382511,33.954619
801553,-117.382682,33.954721
801559,-117.374122,33.972548
801560,-117.373964,33.972476
801562,-117.372535,33.974743
801563,-117.372707,33.974821
801565,-117.371863,33.976852
801566,-117.371681,33.976765
801577,-117.301477,33.948414
801580,-117.31172,33.96035
801586,-117.336049,33.976477
801589,-117.343692,33.983955
801595,-117.351318,34.002169
801596,-117.351466,34.002216
805627,-117.550244,34.047527
805628,-117.549813,34.047542
805631,-117.548939,34.050476
805632,-117.549382,34.050465
805949,-117.301941,34.094197
805956,-117.29679,34.078489
806019,-117.295753,34.07566
806025,-117.295507,34.075709
806027,-117.297146,34.079417
806030,-117.30056,34.084626
806031,-117.300742,34.084569
806033,-117.30177,34.094196
806039,-117.299897,34.083262
806151,-117.534464,33.851534
806176,-117.535177,33.854227
806218,-117.55472,33.891211
806224,-117.546824,33.881283
806574,-117.599428,34.068056
806674,-117.518393,33.885934
806751,-117.591,34.067476
806774,-117.596444,34.067505
807790,-117.555355,33.942641
807797,-117.549932,33.953466
807804,-117.548717,33.963182
807811,-117.549521,33.989044
807818,-117.550091,34.012446
807830,-117.368357,33.981346
807897,-117.549004,33.972586
808109,-117.548729,33.977209
808131,-117.544797,34.061786
808191,-117.556054,33.938948
808210,-117.555573,33.940403
808232,-117.53496,34.104217
808254,-117.532161,34.106539
808273,-117.533364,34.105099
808292,-117.523425,34.113314
808293,-117.523695,34.113622
808325,-117.514764,34.120944
808345,-117.514544,34.120612
808372,-117.480879,34.148611
808373,-117.481222,34.148779
808392,-117.467658,34.159548
808393,-117.468187,34.159602
808412,-117.447638,34.174712
808474,-117.428918,34.187898
808485,-117.429236,34.188104
808512,-117.419854,34.194784
808525,-117.420182,34.194935
808584,-117.419623,34.195059
808586,-117.419954,34.195209
808622,-117.549836,33.885735
808909,-117.55052,34.007427
808916,-117.550033,34.033324
808945,-117.277554,33.942498
808969,-117.577842,34.13609
808993,-117.567407,34.136384
808998,-117.561652,34.136778
809022,-117.574367,34.136045
809036,-117.556942,34.136461
809070,-117.544728,34.136398
809100,-117.542984,34.13666
809117,-117.532518,34.136302
809126,-117.52205,34.136243
809172,-117.607455,34.134954
